event_timestamp,iris_id,sepal_length,sepal_width,petal_length,petal_width,species,created_timestamp
2025-09-17 10:40:17.102131,1001,5.52,2.53,3.86,1.13,versicolor,2025-10-02 10:40:17.172178
2025-09-18 10:40:17.102131,1001,5.5,2.24,3.6,1.08,versicolor,2025-10-02 10:40:17.172178
2025-09-19 10:40:17.102131,1001,5.404971669671505,3.354648078703165,1.3509155670618223,0.3910101591968822,setosa,2025-10-02 10:40:17.172178
2025-09-20 10:40:17.102131,1001,4.876853159537889,2.6167255938167613,2.3953399942813203,0.8727013401119398,setosa,2025-10-02 10:40:17.172178
2025-09-21 10:40:17.102131,1001,5.65,2.52,3.95,1.17,versicolor,2025-10-02 10:40:17.172178
2025-09-22 10:40:17.102131,1001,5.5473962764693105,3.3810512490952664,2.02890227065281,0.5915044761488435,versicolor,2025-10-02 10:40:17.172178
2025-09-23 10:40:17.102131,1001,5.146676729176897,2.3595045088332407,2.311627737574595,1.2656139833807223,versicolor,2025-10-02 10:40:17.172178
2025-09-24 10:40:17.102131,1001,5.62,2.34,3.85,1.06,versicolor,2025-10-02 10:40:17.172178
2025-09-25 10:40:17.102131,1001,5.58,2.54,3.85,0.98,versicolor,2025-10-02 10:40:17.172178
2025-09-26 10:40:17.102131,1001,5.52,2.41,3.76,1.11,versicolor,2025-10-02 10:40:17.172178
2025-09-27 10:40:17.102131,1001,5.5,2.48,3.8,1.27,versicolor,2025-10-02 10:40:17.172178
2025-09-28 10:40:17.102131,1001,5.138052163577953,3.200093345882964,1.7822536969819005,0.5124650368266042,versicolor,2025-10-02 10:40:17.172178
2025-09-29 10:40:17.102131,1001,4.98987197572676,3.0092975129738337,2.4647811554938293,1.1697474510231318,versicolor,2025-10-02 10:40:17.172178
2025-09-30 10:40:17.102131,1001,5.5,2.36,3.77,1.31,versicolor,2025-10-02 10:40:17.172178
2025-10-01 10:40:17.102131,1001,5.45,2.36,3.84,1.09,versicolor,2025-10-02 10:40:17.172178
2025-09-17 10:40:17.102131,1002,4.92,3.05,1.43,0.29,setosa,2025-10-02 10:40:17.172178
2025-09-18 10:40:17.102131,1002,5.621870103419107,3.4217445060648974,2.733411763657341,0.10223136180838657,versicolor,2025-10-02 10:40:17.172178
2025-09-19 10:40:17.102131,1002,5.140773578824776,2.869195347796743,2.7274087404619283,1.1783561946189542,setosa,2025-10-02 10:40:17.172178
2025-09-20 10:40:17.102131,1002,4.88,2.95,1.34,0.15,setosa,2025-10-02 10:40:17.172178
2025-09-21 10:40:17.102131,1002,5.045641317793475,3.3454789659125126,3.0168895806462306,1.2551326369513007,versicolor,2025-10-02 10:40:17.172178
2025-09-22 10:40:17.102131,1002,5.002792343812626,3.2336447603669756,2.0003187714360466,0.03992849905354204,versicolor,2025-10-02 10:40:17.172178
2025-09-23 10:40:17.102131,1002,5.33302143489521,2.887222385091836,1.650845258945263,0.9023218723889536,setosa,2025-10-02 10:40:17.172178
2025-09-24 10:40:17.102131,1002,5.618809343136842,3.1739792677562075,1.9666195419807104,-0.0037841161848145566,setosa,2025-10-02 10:40:17.172178
2025-09-25 10:40:17.102131,1002,4.79,2.92,1.4,-0.13,setosa,2025-10-02 10:40:17.172178
2025-09-26 10:40:17.102131,1002,4.838117912384846,2.4858641396631604,3.5453924822201386,0.30417740837294216,versicolor,2025-10-02 10:40:17.172178
2025-09-27 10:40:17.102131,1002,4.86,2.92,1.43,0.11,setosa,2025-10-02 10:40:17.172178
2025-09-28 10:40:17.102131,1002,5.109665842117438,3.0265494375921596,1.252685321849455,0.5170805630870556,versicolor,2025-10-02 10:40:17.172178
2025-09-29 10:40:17.102131,1002,4.871892504720915,3.0317369700102828,3.3535590571337015,0.8775782726874793,versicolor,2025-10-02 10:40:17.172178
2025-09-30 10:40:17.102131,1002,4.907832975088849,3.179236383449898,3.436696261678256,0.9914013017107443,setosa,2025-10-02 10:40:17.172178
2025-10-01 10:40:17.102131,1002,4.814724645122054,2.396899557228933,3.0235053713035898,0.2528527445017082,setosa,2025-10-02 10:40:17.172178
2025-09-17 10:40:17.102131,1003,5.489371068215524,3.322198308975718,1.4385320957407712,0.26202784905702897,versicolor,2025-10-02 10:40:17.172178
2025-09-18 10:40:17.102131,1003,5.24,3.44,1.56,0.05,setosa,2025-10-02 10:40:17.172178
2025-09-19 10:40:17.102131,1003,4.97,3.41,1.52,0.23,setosa,2025-10-02 10:40:17.172178
2025-09-20 10:40:17.102131,1003,5.345726995112757,2.200896159231488,1.8356729809883405,0.7776069340911993,setosa,2025-10-02 10:40:17.172178
2025-09-21 10:40:17.102131,1003,4.73205161515574,2.3968336757417785,2.317539056679996,0.4186705655789348,setosa,2025-10-02 10:40:17.172178
2025-09-22 10:40:17.102131,1003,5.437248157190812,2.763468000964658,1.2750572234075128,0.08932942790696252,versicolor,2025-10-02 10:40:17.172178
2025-09-23 10:40:17.102131,1003,5.06,3.59,1.53,0.33,setosa,2025-10-02 10:40:17.172178
2025-09-24 10:40:17.102131,1003,5.1,3.48,1.47,0.34,setosa,2025-10-02 10:40:17.172178
2025-09-25 10:40:17.102131,1003,5.18,3.5,1.28,0.29,setosa,2025-10-02 10:40:17.172178
2025-09-26 10:40:17.102131,1003,5.07,3.29,1.53,0.2,setosa,2025-10-02 10:40:17.172178
2025-09-27 10:40:17.102131,1003,5.06,3.46,1.47,0.3,setosa,2025-10-02 10:40:17.172178
2025-09-28 10:40:17.102131,1003,5.11,3.45,1.54,0.18,setosa,2025-10-02 10:40:17.172178
2025-09-29 10:40:17.102131,1003,5.36225449792216,3.1293831136008743,3.183711807646203,0.008802985501038973,setosa,2025-10-02 10:40:17.172178
2025-09-30 10:40:17.102131,1003,5.21,3.43,1.58,0.36,setosa,2025-10-02 10:40:17.172178
2025-10-01 10:40:17.102131,1003,4.85,3.4,1.19,0.29,setosa,2025-10-02 10:40:17.172178
