sepal_length,sepal_width,petal_length,petal_width
5.8248357076505615,3.978967733861732,2.1083051243175275,0.5305185132716732
5.693086784941441,4.382864274173662,2.4053802052034903,0.6989549203017926
5.432384426905035,3.8598861365389188,1.962233063204291,0.7058663691654391
5.176151492820401,3.4919357144166994,2.1062174960084876,0.6638832447894212
5.688292331263833,3.8202025428407267,2.551503526720866,0.5704214305582085
5.0882931521525405,3.8943092950605265,2.351378595091221,0.6273548690585018
5.4789606407753695,3.408728890641592,2.551504768630605,0.4898903673783053
5.138371736457645,3.7128775195361383,2.6852731490654724,0.6891159398386391
4.576526280703252,3.596277704211692,1.8570890510693168,0.5549388425993595
5.1271280021792975,3.2040614392350477,2.61355656401806,0.8412708174494015
4.7768291153593765,3.398674306227539,2.79540017634932,0.5406754818000319
4.976713512321487,3.003011510497051,2.46513912513058,0.5652739403577165
5.012098113578301,3.523162105624264,2.3684730755359658,0.701050192081638
5.104335987767111,3.490381951760944,2.3758969220493267,0.5340976485647482
5.113754108374349,3.4150773671166808,2.122717478546243,0.4844866621703272
4.671885623537952,3.198264411514738,2.376318139325999,0.5162083176244221
4.7493584439832786,3.0415660981190236,2.35146364521709,0.49349284728161574
5.415712366629764,3.457141140725751,2.308187413938632,0.7048497982496359
5.154598796223939,4.137596651634339,2.531465856667351,0.4297578512718456
5.429384814933235,4.239551597352152,2.0132734807408252,0.45908896583832637
4.973282438446078,3.054530627260263,2.3686260190374515,0.504619363784273
4.988711184975673,3.2701397155468053,1.8387284128810348,0.4496991309250149
5.503376410234396,3.429907446860386,2.0528068134210566,0.4392905693606134
4.828762590689328,3.1293428546900137,2.4088950596967367,0.45790554367500336
4.372780863773741,3.109522781290499,2.1064280019095465,0.5395831346981468
5.105546129485493,3.3504731837434654,2.1922255222070692,0.5312059908526078
4.942450321128885,3.4716851135198614,2.0284696290740034,0.6314172754632139
4.518784900917284,2.304982568254382,2.167959774893468,0.5993876613576543
4.36996806550406,3.17482621729419,2.0269633368282864,0.4551372814257084
4.985415312510336,3.4224668284466935,2.4216458589581977,0.9037902279096863
5.06991466938853,3.803428148740301,2.7045571839903815,0.6661419144243944
4.892613909225447,2.9468848143136945,2.134839965239418,0.6487559866708875
5.099325138763103,3.8236796215317588,2.6143944089325326,0.49264713092489304
4.547114453552204,3.15402878828831,2.263391902231801,0.4587251401603744
5.3411272456051595,3.7774967202508773,2.097485741334239,0.4839307079173503
4.938957817501449,3.260837335383188,2.2186454314769426,0.5206465727137812
5.610443179750237,2.4838969241897164,4.633821353523161,1.3718137723598014
5.802016493806011,3.2406758608684836,5.685243333479622,2.0588889802216785
6.033590697555078,2.738456784178302,4.72074792615673,1.6121843605745956
6.309843061793456,2.5113729967302065,5.688526355853311,1.812248328555436
6.13692332899977,2.8653571377141214,5.550498727898046,1.4746528412314435
